class,w,h,xc,yc,area
2,0.0667,0.0583,0.1567,0.6225,0.0038886099999999994
2,0.0467,0.05,0.025,0.065,0.002335
1,0.0367,0.0433,0.3367,0.3183,0.0015891100000000001
1,0.0333,0.0367,0.565,0.905,0.0012221100000000002
1,0.0467,0.0433,0.5567,0.7167,0.0020221099999999997
4,0.035,0.0217,0.4725,0.2975,0.0007595000000000001
4,0.0317,0.025,0.7925,0.3908,0.0007925
4,0.0317,0.0267,0.1675,0.5517,0.00084639
0,0.04,0.0383,0.745,0.1275,0.0015320000000000002
2,0.0317,0.0367,0.9258,0.0917,0.00116339
3,0.0483,0.065,0.2892,0.3608,0.0031395000000000004
3,0.0783,0.0633,0.3242,0.1217,0.004956389999999999
3,0.0517,0.0733,0.4742,0.585,0.0037896100000000005
4,0.03,0.0283,0.4833,0.0592,0.0008489999999999999
4,0.045,0.025,0.0508,0.3775,0.001125
4,0.0283,0.025,0.3225,0.5492,0.0007075
3,0.0567,0.0483,0.365,0.2075,0.0027386100000000003
3,0.055,0.0567,0.8042,0.3217,0.0031185
3,0.06,0.0717,0.8383,0.6658,0.004301999999999999
0,0.0467,0.0283,0.2433,0.0592,0.00132161
0,0.0267,0.0467,0.5433,0.32,0.00124689
0,0.0267,0.0433,0.9117,0.4567,0.0011561100000000001
3,0.0267,0.0717,0.015,0.5808,0.0019143900000000002
3,0.0483,0.1,0.0325,0.4917,0.004830000000000001
3,0.0467,0.0483,0.4333,0.0775,0.00225561
1,0.0399,0.0699,0.589,0.5574,0.00278901
3,0.035,0.0333,0.3975,0.4017,0.0011655000000000003
3,0.045,0.0267,0.6858,0.38,0.0012015
5,0.07,0.0433,0.4067,0.8233,0.0030310000000000003
5,0.0783,0.0367,0.3975,0.2367,0.00287361
5,0.0783,0.0383,0.1708,0.4458,0.0029988899999999997
5,0.0467,0.0467,0.025,0.17,0.00218089
0,0.025,0.0583,0.3592,0.3942,0.0014575
1,0.0683,0.035,0.3242,0.3558,0.0023905000000000003
2,0.04,0.0383,0.825,0.4725,0.0015320000000000002
5,0.075,0.0517,0.1775,0.1658,0.0038775
5,0.09,0.04,0.5517,0.5167,0.0036
5,0.0417,0.0883,0.4508,0.1058,0.00368211
5,0.0767,0.035,0.04,0.6242,0.0026845000000000003
0,0.0267,0.035,0.89,0.2158,0.0009345000000000001
2,0.035,0.035,0.1358,0.9808,0.0012250000000000002
2,0.0417,0.0417,0.9775,0.7775,0.00173889
0,0.06,0.0617,0.5583,0.8958,0.0037019999999999996
0,0.0583,0.0517,0.7108,0.5242,0.00301411
1,0.0633,0.0283,0.205,0.7158,0.0017913899999999997
5,0.1015,0.0449,0.3003,0.6165,0.004557350000000001
5,0.0649,0.0749,0.4318,0.3935,0.00486101
3,0.0699,0.0815,0.7454,0.9276,0.005696850000000001
3,0.0765,0.1015,0.5042,0.5233,0.00776475
3,0.0699,0.1131,0.8935,0.5591,0.007905690000000002
2,0.0433,0.0367,0.41,0.2083,0.0015891100000000001
2,0.04,0.0233,0.3233,0.9867,0.0009320000000000001
2,0.0383,0.0383,0.3192,0.5175,0.00146689
2,0.0467,0.045,0.6467,0.5175,0.0021015
0,0.06,0.0417,0.125,0.2158,0.002502
1,0.05,0.0817,0.0483,0.0792,0.004085
4,0.0617,0.0433,0.3692,0.8817,0.0026716099999999996
4,0.0483,0.08,0.5092,0.7567,0.0038640000000000002
4,0.0633,0.05,0.3683,0.3167,0.003165
4,0.0517,0.0783,0.7525,0.7742,0.00404811
4,0.0667,0.045,0.6567,0.3925,0.0030015
2,0.04,0.035,0.0583,0.3025,0.0014000000000000002
4,0.0333,0.0367,0.8917,0.465,0.0012221100000000002
1,0.0616,0.0366,0.4135,0.396,0.00225456
1,0.0632,0.0366,0.5025,0.7171,0.00231312
5,0.0267,0.0717,0.3683,0.4625,0.0019143900000000002
5,0.0233,0.085,0.43,0.6042,0.0019805
5,0.02,0.0617,0.0433,0.5158,0.001234
2,0.0483,0.0433,0.6708,0.11,0.00209139
2,0.0367,0.04,0.0733,0.0333,0.0014680000000000001
2,0.035,0.0483,0.1875,0.0358,0.0016905000000000002
1,0.03,0.0667,0.2933,0.0767,0.0020009999999999997
1,0.0317,0.07,0.3275,0.2333,0.002219
1,0.0633,0.0283,0.9583,0.3075,0.0017913899999999997
1,0.0283,0.0667,0.5275,0.7517,0.0018876099999999999
4,0.0366,0.0399,0.2313,0.614,0.0014603399999999999
4,0.0383,0.0416,0.1656,0.3153,0.0015932799999999999
3,0.0815,0.0316,0.703,0.9809,0.0025754000000000003
3,0.0998,0.0882,0.9235,0.2704,0.00880236
3,0.0749,0.0832,0.7779,0.5374,0.006231679999999999
4,0.0217,0.0333,0.9608,0.5967,0.00072261
4,0.03,0.0217,0.1233,0.6158,0.000651
4,0.025,0.0283,0.3125,0.4508,0.0007075
0,0.04,0.0517,0.0517,0.2425,0.002068
4,0.03,0.0267,0.6217,0.2167,0.0008010000000000001
0,0.0333,0.0316,0.3943,0.6165,0.0010522800000000003
4,0.0417,0.0283,0.1825,0.7408,0.00118011
4,0.025,0.0383,0.4975,0.9508,0.0009575
0,0.0483,0.0383,0.5275,0.8442,0.00184989
2,0.0567,0.0517,0.575,0.7992,0.0029313900000000003
