epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,338.973,2.44996,4.04684,1.56606,0.22004,0.28375,0.20635,0.07706,1.90898,14.1861,1.22206,0.000331984,0.000331984,0.0671336
2,667.378,2.12076,2.65644,1.38616,0.47537,0.51142,0.42037,0.17913,1.76666,13.0788,1.13368,0.000652144,0.000652144,0.0341204
3,990.764,2.04251,2.2569,1.35204,0.53251,0.6795,0.5493,0.20988,1.69054,18.7918,1.14556,0.000959104,0.000959104,0.00109406
4,1314.46,1.97238,1.9679,1.32371,0.60551,0.73548,0.64355,0.2687,1.6898,21.0066,1.11931,0.0009406,0.0009406,0.0009406
5,1643.54,1.91641,1.79601,1.28916,0.63373,0.75478,0.70456,0.32677,1.52832,20.786,1.04462,0.0009208,0.0009208,0.0009208
6,1933.7,1.89309,1.73176,1.2788,0.6354,0.80148,0.67368,0.26204,1.70614,17.026,1.12234,0.000901,0.000901,0.000901
7,2210.73,1.87688,1.64806,1.26898,0.68096,0.77725,0.71592,0.32872,1.56307,16.6586,1.0636,0.0008812,0.0008812,0.0008812
8,2511.46,1.86841,1.6517,1.27226,0.67121,0.79665,0.72784,0.33671,1.54606,12.8164,1.04475,0.0008614,0.0008614,0.0008614
9,2805.56,1.83881,1.58316,1.24808,0.69495,0.86527,0.76441,0.36922,1.44669,22.0848,1.01379,0.0008416,0.0008416,0.0008416
10,3110.13,1.81898,1.53024,1.24545,0.73536,0.82677,0.80296,0.35498,1.56561,12.2247,1.06498,0.0008218,0.0008218,0.0008218
11,3390.05,1.81738,1.48893,1.23831,0.75292,0.85128,0.84976,0.40741,1.47234,16.524,1.02453,0.000802,0.000802,0.000802
12,3705.38,1.81178,1.49355,1.23837,0.80753,0.8225,0.86181,0.40712,1.51546,3.04164,1.03372,0.0007822,0.0007822,0.0007822
13,3982.12,1.77867,1.41043,1.22201,0.71162,0.82641,0.79159,0.38769,1.49339,23.1965,1.01779,0.0007624,0.0007624,0.0007624
14,4263.83,1.78525,1.42587,1.22697,0.79675,0.82022,0.8749,0.43259,1.44683,4.37513,1.01156,0.0007426,0.0007426,0.0007426
15,4563.69,1.7721,1.38384,1.21999,0.81742,0.8788,0.87592,0.42108,1.48504,8.9484,1.01928,0.0007228,0.0007228,0.0007228
16,4932.06,1.76701,1.39408,1.21195,0.86393,0.85535,0.90214,0.44068,1.45357,5.10998,1.0091,0.000703,0.000703,0.000703
17,5271.49,1.76347,1.34415,1.20954,0.75951,0.88092,0.83426,0.40082,1.47251,22.8874,1.01297,0.0006832,0.0006832,0.0006832
18,5580.06,1.75257,1.31207,1.21016,0.88035,0.88143,0.91374,0.40049,1.60891,3.1499,1.0664,0.0006634,0.0006634,0.0006634
19,5874.07,1.74186,1.29411,1.20486,0.83939,0.89529,0.8975,0.41052,1.50452,6.85494,1.03776,0.0006436,0.0006436,0.0006436
20,6169.4,1.74727,1.29393,1.21016,0.84673,0.91093,0.91761,0.46453,1.42756,15.4779,0.99818,0.0006238,0.0006238,0.0006238
21,6458.73,1.72889,1.27449,1.19716,0.90113,0.88558,0.93292,0.47085,1.44562,1.91955,1.00108,0.000604,0.000604,0.000604
22,6741.46,1.72399,1.25578,1.1929,0.94053,0.89189,0.94224,0.48401,1.41435,2.5099,0.98817,0.0005842,0.0005842,0.0005842
23,7010.04,1.72975,1.22588,1.19917,0.87655,0.90175,0.92232,0.45967,1.43796,4.43538,0.9948,0.0005644,0.0005644,0.0005644
24,7279.79,1.70994,1.21846,1.18063,0.90005,0.7932,0.87986,0.44721,1.40151,1.22722,0.98681,0.0005446,0.0005446,0.0005446
25,7544.55,1.71254,1.21956,1.1906,0.93664,0.89883,0.9475,0.45889,1.47778,3.33869,1.01295,0.0005248,0.0005248,0.0005248
26,7805.52,1.71014,1.20884,1.17983,0.88754,0.90986,0.93867,0.46275,1.42913,7.53249,0.99605,0.000505,0.000505,0.000505
27,8065.63,1.71352,1.18841,1.19138,0.9304,0.9387,0.95884,0.49376,1.3955,2.69807,0.98602,0.0004852,0.0004852,0.0004852
28,8326.22,1.68825,1.17098,1.17575,0.93936,0.92635,0.95586,0.48997,1.41226,1.14542,0.98743,0.0004654,0.0004654,0.0004654
29,8586.79,1.71068,1.19179,1.18296,0.8575,0.89664,0.92245,0.46405,1.40287,13.3027,0.98881,0.0004456,0.0004456,0.0004456
30,8844.29,1.68989,1.14872,1.16965,0.95265,0.92391,0.95789,0.48563,1.39021,1.66803,0.98268,0.0004258,0.0004258,0.0004258
31,9098.1,1.66845,1.15175,1.16409,0.94097,0.91859,0.95358,0.47132,1.42554,1.76219,0.99376,0.000406,0.000406,0.000406
32,9351.43,1.6767,1.13596,1.17443,0.95544,0.91841,0.95654,0.47889,1.41066,1.56242,0.99173,0.0003862,0.0003862,0.0003862
33,9606.38,1.67835,1.14604,1.16625,0.9488,0.93488,0.96261,0.47485,1.42769,1.3504,0.9944,0.0003664,0.0003664,0.0003664
34,9857.47,1.65967,1.08748,1.16919,0.95532,0.91568,0.95729,0.48979,1.39029,1.08218,0.97771,0.0003466,0.0003466,0.0003466
35,10107.1,1.65484,1.10517,1.16166,0.92379,0.9265,0.9588,0.5046,1.35981,4.13916,0.97241,0.0003268,0.0003268,0.0003268
36,10357.9,1.65497,1.09774,1.16196,0.96035,0.9394,0.96909,0.50159,1.37466,0.90004,0.97073,0.000307,0.000307,0.000307
37,10609.6,1.63796,1.07428,1.15002,0.96657,0.93923,0.96882,0.49363,1.39077,1.01539,0.97616,0.0002872,0.0002872,0.0002872
38,10862.2,1.63527,1.04959,1.14878,0.96463,0.93588,0.96623,0.4927,1.41189,1.49131,0.98112,0.0002674,0.0002674,0.0002674
39,11112.7,1.65336,1.06251,1.16033,0.96471,0.94404,0.96554,0.49351,1.42087,1.18606,0.98063,0.0002476,0.0002476,0.0002476
40,11363.6,1.6466,1.0659,1.15573,0.9621,0.94934,0.96777,0.49706,1.39083,0.98934,0.9747,0.0002278,0.0002278,0.0002278
41,11614,1.5443,0.83959,1.16989,0.96562,0.93606,0.96834,0.51245,1.36261,1.1121,0.96709,0.000208,0.000208,0.000208
42,11864.1,1.52299,0.78164,1.16149,0.95661,0.94312,0.96991,0.47544,1.45235,1.02074,0.9976,0.0001882,0.0001882,0.0001882
