epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1003.47,1.90067,1.76322,0.53914,4e-05,0.02959,1e-05,0,1.34211,0.91754,0.32419,3.32998e-05,3.32998e-05,0.0667335
2,1893.39,1.66625,0.43526,0.39762,1e-05,0.01541,0,0,1.12752,1.28363,0.25467,6.59734e-05,6.59734e-05,0.0334329
3,2783.57,1.53209,0.50337,0.34311,3e-05,0.0381,1e-05,0,1.06317,1.08615,0.22744,9.79871e-05,9.79871e-05,0.000131555
4,3673.36,1.45364,0.53428,0.31629,0.50169,0.04082,0.01884,0.00429,1.03227,0.90821,0.22277,9.703e-05,9.703e-05,9.703e-05
5,4563.44,1.34035,0.52673,0.29208,0.02613,0.12354,0.02132,0.0045,0.836,1.03536,0.18177,9.604e-05,9.604e-05,9.604e-05
6,5453.57,1.11342,0.65868,0.21939,0.38596,0.31578,0.08003,0.02561,0.62152,1.91282,0.1109,9.505e-05,9.505e-05,9.505e-05
7,6343.64,0.93975,0.78097,0.17429,0.25802,0.44568,0.12901,0.04807,0.54662,1.95233,0.09235,9.406e-05,9.406e-05,9.406e-05
8,7233.76,0.89744,0.80911,0.16418,0.13015,0.54546,0.15801,0.0639,0.49399,2.77831,0.08426,9.307e-05,9.307e-05,9.307e-05
9,8123.72,0.81997,0.8165,0.14464,0.21816,0.5996,0.25508,0.09682,0.49302,2.09462,0.0836,9.208e-05,9.208e-05,9.208e-05
10,9014.21,0.78857,0.80482,0.13497,0.33938,0.64748,0.29085,0.10595,0.47573,3.30087,0.08204,9.109e-05,9.109e-05,9.109e-05
11,9903.44,0.7574,0.78182,0.12955,0.34346,0.64665,0.41166,0.17756,0.44004,1.91443,0.07317,9.01e-05,9.01e-05,9.01e-05
12,10793.5,0.71709,0.76459,0.12054,0.35938,0.68427,0.43393,0.17875,0.4527,2.64145,0.07793,8.911e-05,8.911e-05,8.911e-05
13,11683,0.6969,0.74504,0.11563,0.3955,0.72245,0.4915,0.22965,0.40368,2.40043,0.06529,8.812e-05,8.812e-05,8.812e-05
14,12572.1,0.68921,0.75493,0.1134,0.37763,0.71612,0.4896,0.21495,0.41609,1.76132,0.06819,8.713e-05,8.713e-05,8.713e-05
15,13459.8,0.6809,0.72347,0.11147,0.46002,0.69424,0.52331,0.23106,0.42546,1.05459,0.06836,8.614e-05,8.614e-05,8.614e-05
16,14349.2,0.68851,0.69229,0.11401,0.47058,0.80881,0.54758,0.21381,0.46668,1.79821,0.08151,8.515e-05,8.515e-05,8.515e-05
17,15236.5,0.66633,0.69559,0.11052,0.58057,0.8435,0.6903,0.32727,0.40698,1.80683,0.06587,8.416e-05,8.416e-05,8.416e-05
18,16126.2,0.6585,0.65745,0.10563,0.74174,0.80138,0.79951,0.3861,0.40717,0.95722,0.0661,8.317e-05,8.317e-05,8.317e-05
19,17015,0.65049,0.63001,0.10685,0.70743,0.85475,0.79952,0.38089,0.39733,0.94407,0.06415,8.218e-05,8.218e-05,8.218e-05
20,17902.8,0.63436,0.61163,0.10224,0.69662,0.88795,0.77758,0.36126,0.41093,0.95767,0.06754,8.119e-05,8.119e-05,8.119e-05
21,18790,0.62419,0.61193,0.10141,0.74663,0.87687,0.8351,0.4079,0.39376,0.75807,0.06337,8.02e-05,8.02e-05,8.02e-05
22,19678.7,0.61887,0.60791,0.0982,0.71583,0.90637,0.80889,0.37316,0.41386,0.95315,0.06701,7.921e-05,7.921e-05,7.921e-05
23,20566.2,0.61796,0.61717,0.09924,0.80619,0.87674,0.85168,0.3941,0.40544,0.69795,0.06574,7.822e-05,7.822e-05,7.822e-05
24,21454.2,0.60596,0.60079,0.09511,0.77366,0.86239,0.85787,0.4,0.40916,0.69197,0.06728,7.723e-05,7.723e-05,7.723e-05
25,22341.3,0.60086,0.60681,0.09384,0.83183,0.88806,0.88044,0.41658,0.39232,0.74522,0.06374,7.624e-05,7.624e-05,7.624e-05
26,23229.7,0.6095,0.58982,0.09782,0.80292,0.91416,0.88809,0.44138,0.38911,0.68982,0.06091,7.525e-05,7.525e-05,7.525e-05
27,24117.6,0.59106,0.57933,0.09268,0.75245,0.92236,0.84193,0.41173,0.39098,0.80205,0.06306,7.426e-05,7.426e-05,7.426e-05
28,25005,0.59563,0.57144,0.09279,0.74675,0.93745,0.861,0.43162,0.3855,0.9462,0.06146,7.327e-05,7.327e-05,7.327e-05
29,25892,0.58056,0.57629,0.08994,0.87701,0.91742,0.91301,0.45577,0.38273,0.46951,0.06148,7.228e-05,7.228e-05,7.228e-05
30,26780.5,0.58051,0.57566,0.09159,0.86571,0.92936,0.91252,0.44414,0.38867,0.50286,0.06184,7.129e-05,7.129e-05,7.129e-05
31,27668.6,0.5735,0.56082,0.08948,0.84247,0.94909,0.91759,0.46037,0.38006,0.42623,0.05963,7.03e-05,7.03e-05,7.03e-05
32,28591.4,0.58142,0.55025,0.09007,0.85548,0.94145,0.93183,0.47177,0.37831,0.50256,0.05984,6.931e-05,6.931e-05,6.931e-05
33,29533.6,0.57476,0.54834,0.08887,0.886,0.94736,0.94773,0.46769,0.37872,0.7476,0.06015,6.832e-05,6.832e-05,6.832e-05
34,30424.4,0.55896,0.54595,0.08673,0.86668,0.95179,0.92108,0.45646,0.38823,0.57553,0.06197,6.733e-05,6.733e-05,6.733e-05
35,31331.3,0.56242,0.53061,0.08577,0.89161,0.95305,0.94687,0.48074,0.37448,0.47356,0.05916,6.634e-05,6.634e-05,6.634e-05
36,32251.8,0.56322,0.54395,0.08505,0.89385,0.94133,0.95762,0.48916,0.37544,0.56035,0.05864,6.535e-05,6.535e-05,6.535e-05
37,33214.7,0.55367,0.52875,0.08328,0.91852,0.95118,0.95717,0.48581,0.37475,0.47799,0.05861,6.436e-05,6.436e-05,6.436e-05
38,34102.6,0.55074,0.53138,0.08314,0.88942,0.95758,0.94428,0.48197,0.37065,0.54142,0.05772,6.337e-05,6.337e-05,6.337e-05
39,34990.2,0.54262,0.5215,0.08349,0.9252,0.95845,0.95931,0.48727,0.37133,0.42764,0.05839,6.238e-05,6.238e-05,6.238e-05
40,35877.6,0.54645,0.5242,0.08361,0.89739,0.97528,0.95671,0.48453,0.37259,0.40067,0.05813,6.139e-05,6.139e-05,6.139e-05
41,36765.4,0.54392,0.51788,0.08463,0.93773,0.95209,0.96384,0.50749,0.36625,0.38344,0.05727,6.04e-05,6.04e-05,6.04e-05
42,37653.9,0.54976,0.51039,0.08247,0.93311,0.96064,0.95544,0.49504,0.36749,0.51614,0.05735,5.941e-05,5.941e-05,5.941e-05
43,38541.7,0.53604,0.51208,0.08163,0.94121,0.94238,0.95909,0.4973,0.36779,0.40346,0.05638,5.842e-05,5.842e-05,5.842e-05
44,39429.6,0.54247,0.51357,0.08266,0.94474,0.95418,0.96734,0.49565,0.37374,0.37542,0.059,5.743e-05,5.743e-05,5.743e-05
45,40317.6,0.53955,0.50907,0.08169,0.92955,0.96312,0.9658,0.49987,0.36625,0.42715,0.05671,5.644e-05,5.644e-05,5.644e-05
46,41205.5,0.53358,0.50631,0.082,0.93566,0.96315,0.96604,0.50498,0.36764,0.37723,0.0561,5.545e-05,5.545e-05,5.545e-05
47,42092.9,0.52724,0.50613,0.0806,0.91202,0.95566,0.96579,0.49977,0.36876,0.41653,0.05763,5.446e-05,5.446e-05,5.446e-05
48,42980.5,0.52935,0.50422,0.07962,0.92094,0.97355,0.96648,0.4891,0.3686,0.41273,0.05828,5.347e-05,5.347e-05,5.347e-05
49,43868.2,0.53342,0.49583,0.07971,0.94986,0.96252,0.96754,0.50232,0.36651,0.35743,0.05681,5.248e-05,5.248e-05,5.248e-05
50,44755.9,0.52424,0.505,0.07848,0.9299,0.96468,0.96861,0.50322,0.36245,0.37443,0.05519,5.149e-05,5.149e-05,5.149e-05
51,45643.5,0.5196,0.50026,0.07869,0.93045,0.95339,0.96464,0.50039,0.36936,0.37929,0.05744,5.05e-05,5.05e-05,5.05e-05
