epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1104.36,1.86115,0.35707,0.5566,3e-05,0.02521,0,0,1.20254,0.60464,0.24891,3.33165e-05,3.33165e-05,0.0667168
2,2194.95,1.40357,0.52703,0.33812,4e-05,0.02058,0,0,1.12237,0.84268,0.25261,6.599e-05,6.599e-05,0.0334161
3,3285.81,1.34192,0.55943,0.31512,0.83599,0.03231,0.00308,0.00041,1.07384,0.92791,0.23569,9.80035e-05,9.80035e-05,0.000114788
4,4374.98,1.25346,0.54239,0.28608,0.85823,0.05272,0.02265,0.00383,1.00058,0.79239,0.2264,9.703e-05,9.703e-05,9.703e-05
5,5465.5,1.05735,0.59447,0.23849,0.38616,0.2936,0.06903,0.0198,0.76432,1.12262,0.16082,9.604e-05,9.604e-05,9.604e-05
6,6556.73,0.819,0.79992,0.16884,0.13371,0.50213,0.15503,0.04775,0.58114,1.35622,0.10633,9.505e-05,9.505e-05,9.505e-05
7,7645.06,0.66818,0.90644,0.12927,0.1777,0.5459,0.21631,0.06972,0.51351,1.44891,0.08917,9.406e-05,9.406e-05,9.406e-05
8,8734.93,0.61082,0.97946,0.11416,0.17651,0.60067,0.26477,0.09593,0.46983,1.80145,0.08007,9.307e-05,9.307e-05,9.307e-05
9,9825.17,0.56598,0.98799,0.10393,0.27635,0.60517,0.3353,0.12988,0.44132,1.43978,0.07325,9.208e-05,9.208e-05,9.208e-05
10,10916.4,0.54175,0.98131,0.09878,0.25235,0.54192,0.29949,0.12048,0.42911,1.35166,0.07246,9.109e-05,9.109e-05,9.109e-05
11,12003.8,0.52283,0.94523,0.09411,0.25586,0.60128,0.33829,0.14379,0.40317,1.1484,0.06791,9.01e-05,9.01e-05,9.01e-05
12,13091.8,0.50156,0.93899,0.08977,0.3102,0.6583,0.39602,0.16715,0.41282,1.08514,0.06972,8.911e-05,8.911e-05,8.911e-05
13,14179.5,0.53107,0.90392,0.09675,0.3045,0.61297,0.39235,0.15123,0.42709,1.19904,0.07237,8.812e-05,8.812e-05,8.812e-05
14,15268.6,0.54911,0.81007,0.09961,0.45545,0.63105,0.5109,0.20081,0.45626,0.95629,0.07725,8.713e-05,8.713e-05,8.713e-05
15,16359.6,0.55476,0.72086,0.09931,0.49031,0.75477,0.61447,0.2671,0.44518,1.11459,0.07319,8.614e-05,8.614e-05,8.614e-05
16,17450.4,0.53305,0.67701,0.094,0.57792,0.77476,0.64069,0.27065,0.44856,0.60856,0.07598,8.515e-05,8.515e-05,8.515e-05
17,18539.4,0.54827,0.67087,0.09708,0.5606,0.79151,0.62017,0.26979,0.44097,0.51544,0.07286,8.416e-05,8.416e-05,8.416e-05
18,19627.7,0.52132,0.65036,0.09154,0.56608,0.79449,0.63821,0.27504,0.45373,0.59413,0.08053,8.317e-05,8.317e-05,8.317e-05
19,20716.2,0.51855,0.62414,0.09133,0.72369,0.83278,0.74818,0.33815,0.42063,0.56229,0.0673,8.218e-05,8.218e-05,8.218e-05
20,21805,0.51454,0.61862,0.09077,0.61598,0.90003,0.68018,0.27937,0.44664,0.58849,0.07672,8.119e-05,8.119e-05,8.119e-05
21,22893.4,0.50422,0.61233,0.08789,0.73178,0.86219,0.77016,0.33432,0.43679,0.59918,0.07414,8.02e-05,8.02e-05,8.02e-05
22,23981.4,0.50633,0.55705,0.08756,0.78179,0.88357,0.8315,0.39109,0.40394,0.51419,0.06535,7.921e-05,7.921e-05,7.921e-05
23,25071.7,0.49518,0.54164,0.08632,0.73884,0.89696,0.7862,0.35513,0.42457,0.45628,0.07275,7.822e-05,7.822e-05,7.822e-05
24,26159.6,0.48588,0.54261,0.08358,0.77023,0.89795,0.8284,0.3635,0.4206,0.44127,0.07197,7.723e-05,7.723e-05,7.723e-05
25,27247.8,0.48027,0.51612,0.08235,0.86286,0.89816,0.86699,0.40729,0.39939,0.4201,0.06549,7.624e-05,7.624e-05,7.624e-05
26,28337.4,0.47685,0.51533,0.08189,0.68417,0.94758,0.79015,0.38046,0.39437,0.42064,0.0641,7.525e-05,7.525e-05,7.525e-05
27,29421,0.47052,0.52364,0.08066,0.85402,0.92943,0.87882,0.42124,0.39423,0.44617,0.06322,7.426e-05,7.426e-05,7.426e-05
28,30510,0.46897,0.49136,0.08036,0.79323,0.9494,0.85785,0.42169,0.39089,0.37587,0.06309,7.327e-05,7.327e-05,7.327e-05
29,31600,0.4715,0.48837,0.07992,0.80627,0.90316,0.85109,0.43294,0.38313,0.4365,0.06128,7.228e-05,7.228e-05,7.228e-05
30,32689.3,0.46224,0.47037,0.07827,0.81544,0.92434,0.87175,0.41574,0.40181,0.45528,0.06587,7.129e-05,7.129e-05,7.129e-05
31,33775.5,0.46211,0.4725,0.07821,0.86785,0.9243,0.91387,0.44232,0.39332,0.43461,0.06314,7.03e-05,7.03e-05,7.03e-05
32,34862.3,0.45227,0.44851,0.07674,0.8595,0.94424,0.91183,0.45419,0.38102,0.37175,0.05983,6.931e-05,6.931e-05,6.931e-05
33,35948.1,0.45565,0.46184,0.07706,0.90939,0.90057,0.92682,0.45623,0.38808,0.38818,0.06115,6.832e-05,6.832e-05,6.832e-05
34,37034.3,0.45168,0.44938,0.07644,0.84461,0.95506,0.89696,0.45315,0.37715,0.36275,0.05964,6.733e-05,6.733e-05,6.733e-05
35,38123.2,0.44735,0.45221,0.07516,0.91389,0.9328,0.91761,0.45871,0.38341,0.3662,0.06191,6.634e-05,6.634e-05,6.634e-05
36,39213.9,0.44776,0.4471,0.07486,0.84134,0.94453,0.9119,0.44353,0.39009,0.37026,0.06152,6.535e-05,6.535e-05,6.535e-05
37,40302.3,0.4421,0.43529,0.07428,0.87606,0.95018,0.9413,0.47015,0.37927,0.36263,0.06083,6.436e-05,6.436e-05,6.436e-05
38,41390.7,0.43315,0.43157,0.07242,0.8697,0.94979,0.93438,0.45232,0.3923,0.35069,0.06405,6.337e-05,6.337e-05,6.337e-05
39,42479,0.43135,0.4368,0.07148,0.894,0.94371,0.93989,0.47796,0.37409,0.37339,0.05898,6.238e-05,6.238e-05,6.238e-05
40,43568,0.42471,0.42709,0.07078,0.93155,0.9488,0.95474,0.48017,0.37242,0.36242,0.05873,6.139e-05,6.139e-05,6.139e-05
41,44657.9,0.43254,0.43775,0.07244,0.93432,0.93069,0.95808,0.49066,0.37077,0.35595,0.05888,6.04e-05,6.04e-05,6.04e-05
42,45747.9,0.43704,0.43348,0.07277,0.9256,0.94197,0.95129,0.48853,0.36454,0.37259,0.05762,5.941e-05,5.941e-05,5.941e-05
43,46836.4,0.42644,0.42505,0.07048,0.8761,0.93528,0.93617,0.48569,0.36244,0.47483,0.0563,5.842e-05,5.842e-05,5.842e-05
44,47926.1,0.41992,0.42196,0.06829,0.91652,0.95401,0.94938,0.48743,0.36274,0.3474,0.05712,5.743e-05,5.743e-05,5.743e-05
45,49015.7,0.42053,0.42,0.06855,0.92729,0.949,0.95931,0.47871,0.37277,0.36562,0.05853,5.644e-05,5.644e-05,5.644e-05
46,50103.6,0.411,0.42118,0.06755,0.92592,0.9554,0.96073,0.49678,0.36507,0.38606,0.05796,5.545e-05,5.545e-05,5.545e-05
47,51192.9,0.41389,0.41825,0.06787,0.94882,0.94292,0.96494,0.50239,0.3647,0.34028,0.05673,5.446e-05,5.446e-05,5.446e-05
48,52282.2,0.4126,0.41522,0.06717,0.92988,0.93205,0.95001,0.49011,0.3665,0.34934,0.05778,5.347e-05,5.347e-05,5.347e-05
49,53371.5,0.40779,0.4159,0.06634,0.94717,0.94635,0.9677,0.50449,0.35727,0.33461,0.0567,5.248e-05,5.248e-05,5.248e-05
50,54460.1,0.40351,0.41126,0.06628,0.922,0.96087,0.96017,0.50973,0.35614,0.33418,0.05544,5.149e-05,5.149e-05,5.149e-05
51,55549,0.40295,0.40779,0.06546,0.95677,0.94022,0.96532,0.51327,0.35156,0.33635,0.05508,5.05e-05,5.05e-05,5.05e-05
52,56638.2,0.4004,0.40145,0.06562,0.9517,0.95449,0.97194,0.49846,0.36372,0.33189,0.05687,4.951e-05,4.951e-05,4.951e-05
53,57728.2,0.40311,0.40256,0.0665,0.94669,0.94159,0.96225,0.50063,0.3588,0.33662,0.05691,4.852e-05,4.852e-05,4.852e-05
54,58814.9,0.39749,0.39932,0.06443,0.94698,0.95099,0.96812,0.50759,0.3542,0.32954,0.05516,4.753e-05,4.753e-05,4.753e-05
