epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.036,2.51753,4.24014,1.60502,0.27626,0.35146,0.23724,0.1029,1.67979,91.1539,1.09339,0.000332663,0.000332663,0.0670664
2,283.058,2.17034,2.78043,1.41319,0.4913,0.55924,0.44531,0.17243,1.56637,22.1809,1.02983,0.000652809,0.000652809,0.0340532
3,420.931,2.05911,2.26985,1.35867,0.5625,0.70353,0.59869,0.23704,1.51933,27.2662,1.01242,0.000959756,0.000959756,0.00102682
4,559.179,1.9911,2.03491,1.32859,0.62152,0.74781,0.66754,0.27689,1.50443,26.3422,1.00244,0.0009406,0.0009406,0.0009406
5,696.693,1.9296,1.88823,1.30106,0.61924,0.76546,0.67979,0.29953,1.39764,23.0849,0.95629,0.0009208,0.0009208,0.0009208
6,834.527,1.91668,1.81513,1.28829,0.63411,0.81256,0.7003,0.31781,1.35018,27.0367,0.93366,0.000901,0.000901,0.000901
7,972.558,1.90757,1.76268,1.28763,0.61941,0.79803,0.68781,0.32895,1.35361,27.6567,0.93342,0.0008812,0.0008812,0.0008812
8,1107.61,1.88172,1.70036,1.27703,0.62153,0.82778,0.72332,0.3252,1.39024,26.7785,0.95005,0.0008614,0.0008614,0.0008614
9,1242.72,1.88228,1.68659,1.26623,0.67435,0.80957,0.71661,0.31236,1.41989,22.5528,0.9612,0.0008416,0.0008416,0.0008416
10,1378.09,1.86078,1.61899,1.26343,0.66814,0.83649,0.7294,0.30541,1.47174,27.7143,0.98228,0.0008218,0.0008218,0.0008218
11,1513.07,1.82701,1.56654,1.25626,0.65999,0.86146,0.73095,0.32174,1.396,35.5501,0.95333,0.000802,0.000802,0.000802
12,1648.23,1.83425,1.59672,1.2576,0.67115,0.87237,0.7655,0.35454,1.33886,30.4491,0.92884,0.0007822,0.0007822,0.0007822
13,1783.67,1.82829,1.54732,1.25126,0.66406,0.87227,0.76368,0.35334,1.36386,27.0587,0.93472,0.0007624,0.0007624,0.0007624
14,1918.61,1.78577,1.52171,1.23068,0.6968,0.88361,0.78494,0.37844,1.30216,32.4136,0.90942,0.0007426,0.0007426,0.0007426
15,2054.02,1.7984,1.49548,1.23822,0.69094,0.87155,0.79186,0.37595,1.31313,33.184,0.9094,0.0007228,0.0007228,0.0007228
16,2189.33,1.7921,1.45899,1.24012,0.73563,0.85203,0.82381,0.33357,1.47321,34.1165,0.98421,0.000703,0.000703,0.000703
17,2324.29,1.78788,1.44465,1.23881,0.78726,0.77555,0.83751,0.3631,1.40613,11.1408,0.95718,0.0006832,0.0006832,0.0006832
18,2459.47,1.75462,1.40753,1.2203,0.79994,0.80608,0.85262,0.40905,1.33657,9.56105,0.92297,0.0006634,0.0006634,0.0006634
19,2594.8,1.76462,1.39051,1.22039,0.78354,0.8916,0.89807,0.42811,1.33317,25.0393,0.91902,0.0006436,0.0006436,0.0006436
20,2729.97,1.77942,1.42016,1.22744,0.78246,0.87963,0.87347,0.41717,1.3243,33.9656,0.91604,0.0006238,0.0006238,0.0006238
21,2865.19,1.76597,1.3548,1.21943,0.8336,0.86853,0.90164,0.43448,1.33794,11.8734,0.91782,0.000604,0.000604,0.000604
22,3000.48,1.76049,1.34512,1.21349,0.85721,0.86153,0.91142,0.40197,1.41613,12.1018,0.95711,0.0005842,0.0005842,0.0005842
23,3135.5,1.74685,1.36979,1.20916,0.85212,0.90132,0.92544,0.43299,1.3702,13.811,0.93528,0.0005644,0.0005644,0.0005644
24,3270.7,1.73069,1.32672,1.20968,0.89829,0.87775,0.93952,0.44976,1.32615,11.6448,0.91651,0.0005446,0.0005446,0.0005446
25,3405.95,1.75374,1.31747,1.20331,0.86368,0.88743,0.93006,0.43686,1.33621,13.9806,0.92018,0.0005248,0.0005248,0.0005248
26,3541,1.72524,1.27553,1.19779,0.90612,0.88036,0.95019,0.43895,1.36249,6.5672,0.93175,0.000505,0.000505,0.000505
27,3676.16,1.73908,1.29999,1.20952,0.87514,0.91007,0.94643,0.45582,1.3295,20.1388,0.90706,0.0004852,0.0004852,0.0004852
28,3811.32,1.71855,1.26089,1.19699,0.91769,0.91977,0.94967,0.47216,1.3051,11.2478,0.89716,0.0004654,0.0004654,0.0004654
29,3946.52,1.70003,1.23443,1.18847,0.95629,0.90836,0.96047,0.47009,1.32142,4.94233,0.90477,0.0004456,0.0004456,0.0004456
30,4081.63,1.72033,1.22634,1.2024,0.92967,0.92851,0.95878,0.47066,1.31174,4.19057,0.90788,0.0004258,0.0004258,0.0004258
