epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.305,2.16262,3.39659,1.47625,0.41804,0.47068,0.37871,0.15121,1.6167,43.0385,1.06368,0.000331995,0.000331995,0.0671325
2,232.872,1.85168,1.83404,1.28846,0.53679,0.63725,0.57288,0.27588,1.39686,16.8952,0.94869,0.000658741,0.000658741,0.0341259
3,348.39,1.75761,1.43239,1.2436,0.62174,0.685,0.66911,0.29586,1.46985,12.9855,0.96658,0.000978888,0.000978888,0.00111276
4,463.693,1.72557,1.27388,1.23874,0.69033,0.78416,0.7802,0.3566,1.39571,26.7224,0.95747,0.0009703,0.0009703,0.0009703
5,579.239,1.70307,1.1384,1.22563,0.81993,0.75691,0.82893,0.34573,1.48114,1.22273,0.9863,0.0009604,0.0009604,0.0009604
6,694.549,1.65226,1.05961,1.20159,0.72588,0.81906,0.8116,0.38142,1.36431,44.9827,0.92888,0.0009505,0.0009505,0.0009505
7,810.053,1.64364,1.00414,1.19861,0.81041,0.84963,0.87274,0.42044,1.32561,27.1032,0.90788,0.0009406,0.0009406,0.0009406
8,925.403,1.61662,0.95831,1.18814,0.87325,0.8829,0.93113,0.45973,1.29433,11.3584,0.89689,0.0009307,0.0009307,0.0009307
9,1037.57,1.60551,0.89429,1.18542,0.92885,0.90943,0.95831,0.45578,1.32684,4.17644,0.91723,0.0009208,0.0009208,0.0009208
10,1149.64,1.61372,0.87579,1.18862,0.95448,0.9155,0.96291,0.46546,1.30708,1.17515,0.90717,0.0009109,0.0009109,0.0009109
11,1261.84,1.60245,0.86037,1.18128,0.92951,0.90574,0.95582,0.46464,1.32766,5.62825,0.91062,0.000901,0.000901,0.000901
12,1373.9,1.58358,0.81849,1.17077,0.95295,0.92549,0.96443,0.48052,1.28542,2.17034,0.89886,0.0008911,0.0008911,0.0008911
13,1486.09,1.59206,0.80627,1.17707,0.86327,0.91772,0.9308,0.46125,1.29927,20.9806,0.90693,0.0008812,0.0008812,0.0008812
14,1598.13,1.56926,0.78838,1.16829,0.92864,0.90481,0.96249,0.48612,1.26035,0.74688,0.89163,0.0008713,0.0008713,0.0008713
15,1710.23,1.56638,0.78922,1.16702,0.94547,0.9239,0.95436,0.46391,1.31355,0.68643,0.91366,0.0008614,0.0008614,0.0008614
16,1822.3,1.58455,0.775,1.17127,0.87154,0.87225,0.90214,0.44983,1.30294,20.2569,0.8999,0.0008515,0.0008515,0.0008515
17,1934.35,1.55667,0.76036,1.16305,0.91732,0.90432,0.95196,0.47132,1.3308,9.3778,0.90984,0.0008416,0.0008416,0.0008416
18,2046.37,1.56604,0.75627,1.16682,0.95226,0.94886,0.97744,0.50354,1.25477,0.7723,0.88277,0.0008317,0.0008317,0.0008317
19,2158.48,1.54866,0.73095,1.15484,0.96892,0.93866,0.97313,0.49907,1.27406,0.60967,0.89315,0.0008218,0.0008218,0.0008218
20,2270.5,1.53495,0.71193,1.16062,0.96189,0.93839,0.9707,0.47613,1.30154,1.5312,0.90587,0.0008119,0.0008119,0.0008119
21,2379.83,1.52842,0.71822,1.14771,0.95432,0.95247,0.97511,0.48436,1.2953,1.6926,0.89461,0.000802,0.000802,0.000802
22,2491.9,1.53792,0.71288,1.15462,0.80896,0.91589,0.89418,0.45435,1.28353,32.2884,0.89763,0.0007921,0.0007921,0.0007921
23,2603.93,1.51722,0.70375,1.14857,0.9718,0.94702,0.97551,0.5042,1.26728,0.9043,0.89082,0.0007822,0.0007822,0.0007822
24,2716.09,1.51819,0.70067,1.14696,0.90513,0.93836,0.95746,0.50996,1.22589,11.0268,0.87396,0.0007723,0.0007723,0.0007723
25,2828.22,1.50853,0.68965,1.13968,0.97031,0.93186,0.97199,0.50336,1.25437,0.83669,0.87971,0.0007624,0.0007624,0.0007624
26,2940.25,1.4998,0.66963,1.13981,0.97671,0.9401,0.97929,0.5002,1.2702,1.38825,0.89149,0.0007525,0.0007525,0.0007525
27,3053.51,1.5078,0.66633,1.14732,0.92303,0.93644,0.96756,0.49347,1.26611,15.0735,0.88669,0.0007426,0.0007426,0.0007426
28,3166.38,1.51047,0.67067,1.14198,0.90447,0.93414,0.96007,0.50008,1.24808,15.2819,0.88458,0.0007327,0.0007327,0.0007327
29,3279.29,1.48505,0.65573,1.13378,0.94883,0.94625,0.97565,0.50702,1.23662,6.03454,0.87954,0.0007228,0.0007228,0.0007228
30,3392.15,1.4773,0.64589,1.13365,0.97631,0.9638,0.98435,0.51315,1.24559,0.54327,0.8809,0.0007129,0.0007129,0.0007129
31,3504.97,1.4857,0.64328,1.13233,0.9649,0.96346,0.97748,0.51285,1.24115,0.53205,0.87447,0.000703,0.000703,0.000703
32,3618.05,1.48772,0.64588,1.13678,0.89798,0.92277,0.95827,0.48622,1.28418,16.1598,0.89326,0.0006931,0.0006931,0.0006931
33,3732.33,1.48846,0.65473,1.13074,0.97481,0.97244,0.98259,0.52787,1.21931,0.98462,0.87136,0.0006832,0.0006832,0.0006832
34,3846.69,1.4706,0.63713,1.13165,0.97087,0.95581,0.97504,0.51812,1.22221,0.5321,0.87334,0.0006733,0.0006733,0.0006733
35,3960.58,1.46567,0.63316,1.12665,0.96096,0.94082,0.97332,0.49669,1.28055,6.88282,0.89555,0.0006634,0.0006634,0.0006634
36,4072.66,1.4573,0.62903,1.12076,0.96981,0.96017,0.97167,0.49556,1.28351,1.57417,0.89374,0.0006535,0.0006535,0.0006535
37,4184.67,1.48185,0.63678,1.13301,0.97148,0.97533,0.98319,0.52349,1.22573,2.47587,0.87285,0.0006436,0.0006436,0.0006436
38,4296.66,1.464,0.62072,1.12478,0.96943,0.9549,0.97289,0.51212,1.24339,0.51988,0.8834,0.0006337,0.0006337,0.0006337
39,4408.67,1.46249,0.61588,1.12373,0.9726,0.9683,0.9814,0.53133,1.20224,1.27517,0.86216,0.0006238,0.0006238,0.0006238
40,4520.78,1.44685,0.60558,1.11398,0.97855,0.97105,0.97681,0.51944,1.22443,0.63624,0.87104,0.0006139,0.0006139,0.0006139
41,4632.74,1.44086,0.60137,1.11546,0.98052,0.97806,0.98664,0.53921,1.19093,0.51101,0.86129,0.000604,0.000604,0.000604
42,4744.84,1.43589,0.60703,1.11368,0.97177,0.96768,0.97986,0.52604,1.21631,0.82442,0.86736,0.0005941,0.0005941,0.0005941
43,4856.83,1.42696,0.60044,1.11209,0.96466,0.97068,0.98128,0.52769,1.21749,2.27547,0.86691,0.0005842,0.0005842,0.0005842
44,4968.84,1.41149,0.59522,1.10574,0.98699,0.97771,0.9873,0.53553,1.19193,0.60733,0.86125,0.0005743,0.0005743,0.0005743
45,5080.84,1.41545,0.5937,1.10559,0.97836,0.97177,0.98152,0.51984,1.21048,0.49675,0.86865,0.0005644,0.0005644,0.0005644
46,5192.84,1.41527,0.58494,1.10489,0.98023,0.97797,0.98369,0.53306,1.20217,0.63745,0.8645,0.0005545,0.0005545,0.0005545
47,5304.84,1.41254,0.58456,1.10274,0.97958,0.96937,0.97922,0.50724,1.23782,0.89568,0.87821,0.0005446,0.0005446,0.0005446
48,5416.83,1.40189,0.5805,1.10246,0.97072,0.97304,0.97908,0.5331,1.1987,0.54459,0.86241,0.0005347,0.0005347,0.0005347
49,5528.82,1.4038,0.5811,1.09977,0.97802,0.96955,0.97811,0.51653,1.23099,0.74823,0.87482,0.0005248,0.0005248,0.0005248
50,5640.82,1.39979,0.57408,1.10113,0.98611,0.97767,0.98504,0.5418,1.18143,0.60295,0.85675,0.0005149,0.0005149,0.0005149
51,5752.91,1.3888,0.56956,1.09255,0.97219,0.97288,0.982,0.53751,1.1889,0.49742,0.86027,0.000505,0.000505,0.000505
52,5864.89,1.38673,0.57323,1.09451,0.97351,0.97671,0.98108,0.54135,1.18673,0.47961,0.85484,0.0004951,0.0004951,0.0004951
53,5976.87,1.37709,0.56518,1.09076,0.96668,0.97652,0.97787,0.53477,1.18532,0.49341,0.85634,0.0004852,0.0004852,0.0004852
54,6088.85,1.37314,0.56079,1.09314,0.98315,0.97708,0.98338,0.5431,1.17475,0.60797,0.85686,0.0004753,0.0004753,0.0004753
55,6200.94,1.36502,0.55612,1.08625,0.978,0.9797,0.98292,0.53076,1.19378,0.48775,0.86101,0.0004654,0.0004654,0.0004654
56,6312.91,1.36894,0.55499,1.08851,0.98117,0.98317,0.98545,0.53939,1.18149,0.44456,0.85771,0.0004555,0.0004555,0.0004555
57,6424.92,1.36236,0.55839,1.08363,0.98266,0.97641,0.97989,0.54849,1.16081,0.47947,0.84987,0.0004456,0.0004456,0.0004456
58,6537,1.35704,0.54569,1.08486,0.9758,0.97728,0.9815,0.53798,1.1847,0.53168,0.86017,0.0004357,0.0004357,0.0004357
59,6649,1.34507,0.54317,1.07889,0.98115,0.98005,0.98328,0.5513,1.1576,0.46803,0.85134,0.0004258,0.0004258,0.0004258
60,6761.08,1.34331,0.54006,1.07769,0.98724,0.98171,0.98443,0.53769,1.1881,0.46758,0.85617,0.0004159,0.0004159,0.0004159
61,6873.05,1.34079,0.54267,1.07913,0.98384,0.98193,0.9823,0.55544,1.15076,0.45557,0.84755,0.000406,0.000406,0.000406
62,6985.15,1.34062,0.54083,1.07388,0.98629,0.98046,0.98324,0.54901,1.15153,0.46349,0.84525,0.0003961,0.0003961,0.0003961
63,7097.15,1.33643,0.53896,1.07255,0.98216,0.97577,0.97793,0.54895,1.15453,0.68109,0.85105,0.0003862,0.0003862,0.0003862
64,7209.11,1.32647,0.53905,1.07313,0.9804,0.98052,0.98365,0.54799,1.16421,0.53846,0.8486,0.0003763,0.0003763,0.0003763
65,7321.08,1.31974,0.53605,1.06461,0.98672,0.97702,0.98334,0.5523,1.15646,0.44405,0.84686,0.0003664,0.0003664,0.0003664
66,7433.1,1.31979,0.53071,1.06653,0.98444,0.97493,0.98107,0.54607,1.16643,0.51504,0.85224,0.0003565,0.0003565,0.0003565
67,7545.09,1.31387,0.53085,1.06373,0.98229,0.97558,0.98373,0.55538,1.1484,0.84327,0.8433,0.0003466,0.0003466,0.0003466
68,7657.07,1.32051,0.53339,1.06788,0.98372,0.98132,0.98484,0.55664,1.14718,0.61236,0.84426,0.0003367,0.0003367,0.0003367
69,7769.15,1.30452,0.52808,1.06076,0.98235,0.9796,0.9851,0.55131,1.15888,0.48151,0.84601,0.0003268,0.0003268,0.0003268
70,7881.12,1.28983,0.51956,1.05855,0.98287,0.98362,0.98556,0.55373,1.15161,0.58629,0.8465,0.0003169,0.0003169,0.0003169
71,7993.08,1.28653,0.5214,1.05328,0.98045,0.97814,0.98318,0.56417,1.13539,0.73621,0.84094,0.000307,0.000307,0.000307
72,8105.16,1.27845,0.50874,1.05905,0.9832,0.97749,0.98023,0.5499,1.15441,0.47621,0.85069,0.0002971,0.0002971,0.0002971
73,8217.14,1.27694,0.51907,1.05396,0.98665,0.98238,0.98466,0.55683,1.12795,0.46353,0.84077,0.0002872,0.0002872,0.0002872
74,8329.14,1.26649,0.50961,1.05224,0.98512,0.98038,0.98257,0.56853,1.12374,0.77614,0.84061,0.0002773,0.0002773,0.0002773
75,8441.21,1.26096,0.50471,1.04433,0.98812,0.97779,0.98399,0.56111,1.12831,0.48806,0.83934,0.0002674,0.0002674,0.0002674
76,8553.18,1.26681,0.50968,1.04753,0.98159,0.98709,0.98509,0.55097,1.14298,0.61545,0.84207,0.0002575,0.0002575,0.0002575
77,8665.15,1.25687,0.50134,1.04487,0.98315,0.98252,0.9835,0.55673,1.13492,0.54831,0.84186,0.0002476,0.0002476,0.0002476
78,8777.13,1.25461,0.49985,1.04242,0.98599,0.98464,0.98426,0.55679,1.13533,0.63924,0.8414,0.0002377,0.0002377,0.0002377
79,8889.09,1.2478,0.50304,1.04242,0.98323,0.98266,0.98347,0.5589,1.13526,0.47903,0.84185,0.0002278,0.0002278,0.0002278
80,9001.09,1.24548,0.50516,1.03893,0.98554,0.98355,0.98398,0.56793,1.11688,0.56789,0.83525,0.0002179,0.0002179,0.0002179
81,9113.08,1.23532,0.49568,1.03757,0.98528,0.9829,0.98357,0.56025,1.12375,0.43483,0.83865,0.000208,0.000208,0.000208
82,9225.09,1.23354,0.49712,1.03802,0.98753,0.98128,0.98522,0.55517,1.13903,0.46759,0.84411,0.0001981,0.0001981,0.0001981
83,9337.06,1.22064,0.49389,1.03223,0.98813,0.98148,0.98539,0.55631,1.14331,0.42378,0.84669,0.0001882,0.0001882,0.0001882
84,9449.02,1.22089,0.49314,1.03061,0.98436,0.98401,0.98602,0.56274,1.12421,0.41751,0.8378,0.0001783,0.0001783,0.0001783
